signal_date,Ticker,entry_price,model_prob,expected_value,score
2026-06-03,8002.T,5220.0,0.592919533127957,0.0034250912372979,0.0751685472258098
2026-06-03,7741.T,27195.0,0.6201596412114483,0.0030307784352174,0.0734548280029289
2026-06-03,8001.T,1927.5,0.5531684043784747,0.0024628701756712,0.0709002525510432
2026-06-03,8031.T,5359.0,0.5568903438567748,0.0028972497596343,0.0704222176339926
2026-06-03,8058.T,5124.0,0.5245311291265844,0.002566674677725,0.0663237201538791
2026-06-03,8002.T,5220.0,0.592919533127957,0.0034250912372979,0.0751685472258098
2026-06-03,7741.T,27195.0,0.6201596412114483,0.0030307784352174,0.0734548280029289
2026-06-03,8001.T,1927.5,0.5531684043784747,0.0024628701756712,0.0709002525510432
2026-06-03,8031.T,5359.0,0.5568903438567748,0.0028972497596343,0.0704222176339926
2026-06-03,8058.T,5124.0,0.5245311291265844,0.002566674677725,0.0663237201538791
2026-06-03,8002.T,5220.0,0.592919533127957,0.0034250912372979,0.0751685472258098
2026-06-03,7741.T,27195.0,0.6201596412114483,0.0030307784352174,0.0734548280029289
2026-06-03,8001.T,1927.5,0.5531684043784747,0.0024628701756712,0.0709002525510432
2026-06-03,8031.T,5359.0,0.5568903438567748,0.0028972497596343,0.0704222176339926
2026-06-03,8058.T,5124.0,0.5245311291265844,0.002566674677725,0.0663237201538791
2026-06-08,8001.T,1879.5,0.5553116441867184,0.002443789569759,0.0703487960057132
2026-06-08,8058.T,4921.0,0.556074489558949,0.0026929109553554,0.0695950796260874
2026-06-08,8031.T,5033.0,0.5527156069315399,0.0028378345140323,0.0689598316987881
2026-06-08,8002.T,4918.0,0.5302718373757974,0.0030353491823797,0.0666292203637856
2026-06-08,7741.T,26440.0,0.5487640889995552,0.0026528961963064,0.0643065092420894
2026-06-15,8002.T,5044.0,0.5665535418245036,0.0032075270054644726,0.07043914814140954
2026-06-15,8031.T,5039.0,0.5440193737659621,0.0027510817995434174,0.0668576841800154
2026-06-15,8001.T,1873.5,0.5233206932504578,0.0022930860512915333,0.06606917755577794
2026-06-15,9984.T,7426.0,0.6296290499352484,0.004561288094343218,0.06344735464464261
2026-06-15,7741.T,26340.0,0.5243990882114531,0.002499275898330588,0.06058077867753267
